Pid,Lon,Lat,DisYear1,DisDOY1,DisYear2,DisDOY2
540,-107.2146615,41.40174203,0,0,0,0
541,-106.6461039,41.18269529,0,0,0,0
542,-106.6809491,41.34892113,0,0,0,0
543,-107.2788779,40.82390049,0,0,0,0
544,-106.0972349,41.36895767,0,0,0,0
545,-107.0349554,40.56046416,0,0,0,0
546,-106.9803485,41.51536823,0,0,0,0
547,-106.9990365,41.49262271,0,0,0,0
548,-107.3105955,40.73480966,0,0,0,0
549,-106.6812074,40.69114073,0,0,0,0
550,-107.0412226,40.97407153,0,0,0,0
551,-106.8380358,40.79270341,0,0,0,0
552,-106.1447822,41.0324364,0,0,0,0
553,-106.1802839,40.96677268,0,0,0,0
554,-107.2285015,41.33995257,0,0,0,0
555,-106.6069204,41.04272907,2018,290,0,0
556,-106.9215792,41.48300811,0,0,0,0
557,-106.4512072,41.48481037,0,0,0,0
558,-106.7000095,41.20688128,0,0,0,0
559,-107.0330185,40.91062326,0,0,0,0
560,-106.7253755,40.65882842,0,0,0,0
561,-106.2609656,40.8798542,0,0,0,0
562,-106.4310078,40.86619289,0,0,0,0
563,-107.1109864,40.84544364,0,0,0,0
564,-107.161805,40.74211921,2019,204,0,0
565,-106.8901098,40.88384047,0,0,0,0
566,-106.2554824,41.03086861,0,0,0,0
567,-106.4901837,41.21319258,0,0,0,0
568,-106.5421949,40.61991353,0,0,0,0
569,-107.2004697,41.28566515,0,0,0,0
570,-107.2722795,41.02388998,0,0,0,0
571,-106.233428,40.81432208,0,0,0,0
572,-106.8364913,41.2844843,0,0,0,0
573,-106.7335501,40.70434213,0,0,0,0
574,-106.7769335,41.00608783,0,0,0,0
575,-106.6957444,40.64140527,0,0,0,0
576,-107.0270075,41.18633378,0,0,0,0
577,-107.0616679,40.61067293,0,0,0,0
578,-106.1998361,40.63032667,0,0,0,0
579,-106.1939843,40.96486502,0,0,0,0
580,-106.6013416,41.43790154,0,0,0,0
581,-106.9052054,41.17250957,0,0,0,0
582,-106.6037356,41.26664155,0,0,0,0
583,-106.5128657,41.27746,0,0,0,0
584,-106.2188811,41.31985938,0,0,0,0
585,-107.2792283,41.52525087,0,0,0,0
586,-106.6660426,40.65868721,0,0,0,0
